Gen	MaxFit	AvgFit	Diversity
000	0.0867	0.0431	4.36e-02
001	0.0700	0.0439	2.61e-02
002	0.0733	0.0518	2.15e-02
003	0.0733	0.0597	1.37e-02
004	0.0733	0.0642	9.13e-03
005	0.0767	0.0682	8.47e-03
006	0.0767	0.0710	5.67e-03
007	0.0767	0.0724	4.28e-03
008	0.0833	0.0757	7.67e-03
009	0.0867	0.0780	8.69e-03
010	0.0900	0.0805	9.48e-03
011	0.0933	0.0853	8.08e-03
012	0.0900	0.0848	5.23e-03
013	0.0933	0.0860	7.31e-03
014	0.1000	0.0866	1.34e-02
015	0.0933	0.0867	6.67e-03
016	0.0933	0.0878	5.52e-03
017	0.1000	0.0924	7.61e-03
018	0.1033	0.0939	9.47e-03
019	0.1033	0.0968	6.52e-03
020	0.1067	0.1002	6.50e-03
021	0.1100	0.1033	6.72e-03
022	0.1100	0.1043	5.71e-03
023	0.1100	0.1044	5.63e-03
024	0.1167	0.1094	7.31e-03
025	0.1133	0.1084	4.90e-03
026	0.1133	0.1089	4.42e-03
027	0.1167	0.1101	6.56e-03
028	0.1200	0.1126	7.38e-03
029	0.1200	0.1139	6.08e-03
030	0.1233	0.1177	5.67e-03
031	0.1267	0.1194	7.29e-03
032	0.1333	0.1213	1.20e-02
033	0.1300	0.1223	7.67e-03
034	0.1333	0.1266	6.72e-03
035	0.1367	0.1282	8.43e-03
036	0.1367	0.1298	6.90e-03
037	0.1367	0.1287	7.99e-03
038	0.1333	0.1301	3.21e-03
039	0.1367	0.1327	4.00e-03
040	0.1433	0.1339	9.49e-03
041	0.1433	0.1343	9.09e-03
042	0.1433	0.1364	6.97e-03
043	0.1433	0.1388	4.56e-03
044	0.1467	0.1415	5.18e-03
045	0.1500	0.1435	6.51e-03
046	0.1533	0.1436	9.72e-03
047	0.1533	0.1456	7.71e-03
048	0.1567	0.1498	6.84e-03
049	0.1567	0.1514	5.28e-03
050	0.1600	0.1531	6.90e-03
051	0.1633	0.1546	8.71e-03
052	0.1667	0.1560	1.07e-02
053	0.1667	0.1570	9.68e-03
054	0.1667	0.1603	6.33e-03
055	0.1667	0.1626	4.08e-03
056	0.1667	0.1637	2.94e-03
057	0.1700	0.1657	4.33e-03
058	0.1700	0.1650	5.06e-03
059	0.1733	0.1656	7.77e-03
060	0.1733	0.1679	5.43e-03
061	0.1700	0.1674	2.64e-03
062	0.1733	0.1691	4.24e-03
063	0.1767	0.1690	7.63e-03
064	0.1800	0.1718	8.21e-03
065	0.1800	0.1726	7.43e-03
066	0.1800	0.1761	3.91e-03
067	0.1833	0.1778	5.51e-03
068	0.1833	0.1786	4.71e-03
069	0.1867	0.1811	5.53e-03
070	0.1867	0.1818	4.91e-03
071	0.1867	0.1823	4.36e-03
072	0.1900	0.1828	7.22e-03
073	0.1900	0.1839	6.13e-03
074	0.1900	0.1851	4.92e-03
075	0.1900	0.1848	5.18e-03
076	0.1900	0.1863	3.76e-03
077	0.1933	0.1890	4.36e-03
