Gen	MaxFit	AvgFit	Diversity
000	0.1500	0.1045	4.55e-02
001	0.1333	0.1016	3.17e-02
002	0.1267	0.0942	3.25e-02
003	0.1167	0.0921	2.46e-02
004	0.1133	0.0897	2.36e-02
005	0.1133	0.0912	2.22e-02
006	0.1067	0.0950	1.17e-02
007	0.1100	0.0979	1.21e-02
008	0.1133	0.1014	1.19e-02
009	0.1067	0.0998	6.83e-03
010	0.1100	0.1039	6.09e-03
011	0.1133	0.1060	7.30e-03
012	0.1167	0.1096	7.06e-03
013	0.1167	0.1095	7.13e-03
014	0.1167	0.1111	5.54e-03
015	0.1200	0.1128	7.18e-03
016	0.1200	0.1132	6.78e-03
017	0.1200	0.1143	5.69e-03
018	0.1233	0.1149	8.44e-03
019	0.1267	0.1171	9.57e-03
020	0.1267	0.1215	5.14e-03
021	0.1300	0.1216	8.38e-03
022	0.1300	0.1230	6.97e-03
023	0.1300	0.1222	7.78e-03
024	0.1300	0.1238	6.20e-03
025	0.1333	0.1271	6.27e-03
026	0.1367	0.1279	8.78e-03
027	0.1333	0.1289	4.47e-03
028	0.1333	0.1295	3.80e-03
029	0.1333	0.1294	3.96e-03
030	0.1333	0.1293	4.03e-03
031	0.1333	0.1271	6.22e-03
032	0.1367	0.1264	1.03e-02
033	0.1400	0.1268	1.32e-02
034	0.1400	0.1294	1.07e-02
035	0.1400	0.1359	4.08e-03
036	0.1433	0.1348	8.59e-03
037	0.1433	0.1366	6.77e-03
038	0.1467	0.1387	8.01e-03
039	0.1467	0.1386	8.03e-03
040	0.1467	0.1396	7.09e-03
041	0.1500	0.1410	9.00e-03
042	0.1500	0.1415	8.49e-03
043	0.1500	0.1454	4.66e-03
044	0.1533	0.1465	6.88e-03
045	0.1533	0.1472	6.12e-03
046	0.1567	0.1492	7.50e-03
047	0.1533	0.1493	4.07e-03
048	0.1600	0.1527	7.34e-03
049	0.1567	0.1527	3.98e-03
050	0.1567	0.1527	4.01e-03
051	0.1567	0.1525	4.14e-03
052	0.1600	0.1514	8.59e-03
053	0.1600	0.1547	5.36e-03
054	0.1633	0.1582	5.16e-03
055	0.1667	0.1588	7.90e-03
056	0.1700	0.1619	8.13e-03
057	0.1733	0.1642	9.14e-03
058	0.1700	0.1643	5.70e-03
059	0.1733	0.1638	9.58e-03
060	0.1767	0.1684	8.26e-03
061	0.1767	0.1703	6.42e-03
062	0.1767	0.1713	5.37e-03
063	0.1800	0.1742	5.77e-03
064	0.1800	0.1743	5.69e-03
065	0.1800	0.1726	7.42e-03
066	0.1833	0.1746	8.71e-03
067	0.1833	0.1769	6.49e-03
068	0.1867	0.1822	4.51e-03
069	0.1867	0.1834	3.32e-03
070	0.1900	0.1858	4.21e-03
071	0.1933	0.1865	6.80e-03
072	0.1967	0.1890	7.66e-03
073	0.1967	0.1902	6.44e-03
074	0.2000	0.1905	9.47e-03
075	0.2000	0.1930	7.00e-03
076	0.2000	0.1952	4.86e-03
077	0.2000	0.1956	4.40e-03
078	0.2033	0.1956	7.74e-03
079	0.2033	0.1962	7.12e-03
080	0.2000	0.1939	6.13e-03
081	0.2033	0.1989	4.49e-03
082	0.2067	0.1997	6.98e-03
083	0.2067	0.2002	6.49e-03
084	0.2067	0.2002	6.50e-03
085	0.2067	0.1988	7.89e-03
086	0.2100	0.2029	7.07e-03
087	0.2100	0.2055	4.48e-03
088	0.2100	0.2055	4.56e-03
089	0.2133	0.2082	5.13e-03
090	0.2167	0.2088	7.84e-03
091	0.2133	0.2088	4.57e-03
092	0.2167	0.2123	4.33e-03
093	0.2167	0.2097	7.02e-03
094	0.2167	0.2138	2.92e-03
095	0.2200	0.2154	4.61e-03
096	0.2233	0.2160	7.39e-03
097	0.2233	0.2175	5.80e-03
098	0.2233	0.2186	4.71e-03
099	0.2267	0.2182	8.52e-03
100	0.2267	0.2191	7.57e-03
101	0.2267	0.2195	7.13e-03
102	0.2300	0.2226	7.46e-03
103	0.2300	0.2257	4.29e-03
104	0.2333	0.2277	5.60e-03
105	0.2333	0.2295	3.84e-03
106	0.2367	0.2314	5.32e-03
107	0.2367	0.2313	5.34e-03
108	0.2367	0.2324	4.28e-03
109	0.2400	0.2340	5.98e-03
110	0.2433	0.2360	7.38e-03
111	0.2367	0.2314	5.26e-03
112	0.2400	0.2352	4.77e-03
113	0.2400	0.2357	4.27e-03
114	0.2433	0.2370	6.33e-03
115	0.2433	0.2387	4.63e-03
116	0.2433	0.2392	4.10e-03
117	0.2467	0.2422	4.46e-03
118	0.2433	0.2421	1.22e-03
119	0.2467	0.2422	4.51e-03
120	0.2500	0.2415	8.50e-03
121	0.2433	0.2390	4.36e-03
122	0.2467	0.2421	4.56e-03
123	0.2467	0.2421	4.62e-03
124	0.2500	0.2445	5.52e-03
125	0.2500	0.2445	5.54e-03
126	0.2500	0.2447	5.29e-03
127	0.2500	0.2447	5.32e-03
128	0.2533	0.2459	7.46e-03
129	0.2533	0.2473	6.03e-03
130	0.2500	0.2479	2.13e-03
131	0.2533	0.2485	4.82e-03
132	0.2533	0.2488	4.52e-03
133	0.2533	0.2484	4.91e-03
134	0.2533	0.2478	5.53e-03
135	0.2567	0.2493	7.34e-03
136	0.2533	0.2501	3.27e-03
137	0.2533	0.2518	1.59e-03
138	0.2567	0.2519	4.76e-03
139	0.2567	0.2522	4.46e-03
140	0.2567	0.2536	3.08e-03
141	0.2600	0.2553	4.76e-03
142	0.2600	0.2550	5.00e-03
143	0.2600	0.2547	5.33e-03
144	0.2633	0.2549	8.48e-03
145	0.2633	0.2575	5.86e-03
146	0.2633	0.2578	5.58e-03
147	0.2633	0.2610	2.31e-03
148	0.2700	0.2617	8.28e-03
149	0.2733	0.2634	9.94e-03
150	0.2733	0.2646	8.70e-03
151	0.2733	0.2674	5.99e-03
152	0.2733	0.2684	4.96e-03
153	0.2733	0.2695	3.80e-03
154	0.2767	0.2718	4.91e-03
155	0.2767	0.2713	5.36e-03
156	0.2767	0.2721	4.60e-03
157	0.2767	0.2739	2.82e-03
158	0.2800	0.2750	5.01e-03
159	0.2767	0.2745	2.17e-03
160	0.2767	0.2749	1.78e-03
161	0.2800	0.2749	5.14e-03
162	0.2833	0.2740	9.38e-03
163	0.2833	0.2770	6.37e-03
164	0.2833	0.2772	6.18e-03
165	0.2833	0.2775	5.80e-03
166	0.2833	0.2805	2.86e-03
167	0.2867	0.2816	5.11e-03
168	0.2867	0.2817	5.00e-03
169	0.2867	0.2822	4.51e-03
170	0.2867	0.2852	1.51e-03
171	0.2867	0.2850	1.63e-03
172	0.2867	0.2849	1.81e-03
173	0.2900	0.2851	4.92e-03
174	0.2900	0.2851	4.92e-03
175	0.2900	0.2859	4.12e-03
176	0.2900	0.2878	2.22e-03
177	0.2933	0.2882	5.13e-03
178	0.2933	0.2883	5.09e-03
179	0.2967	0.2888	7.83e-03
180	0.2933	0.2902	3.13e-03
181	0.2967	0.2917	4.96e-03
182	0.2967	0.2910	5.70e-03
183	0.2967	0.2927	4.00e-03
184	0.3000	0.2952	4.86e-03
185	0.3033	0.2954	7.97e-03
186	0.3000	0.2980	2.02e-03
187	0.3000	0.2981	1.93e-03
188	0.3000	0.2983	1.76e-03
189	0.3000	0.2982	1.78e-03
190	0.3033	0.2985	4.88e-03
191	0.3033	0.2994	3.98e-03
192	0.3033	0.3014	1.98e-03
193	0.3067	0.3014	5.27e-03
194	0.3067	0.3010	5.70e-03
195	0.3067	0.3009	5.81e-03
196	0.3067	0.3027	4.02e-03
197	0.3067	0.3049	1.77e-03
198	0.3067	0.3048	1.90e-03
199	0.3067	0.3050	1.64e-03
200	0.3067	0.3047	1.96e-03
201	0.3100	0.3049	5.08e-03
202	0.3067	0.3049	1.78e-03
203	0.3067	0.3051	1.59e-03
204	0.3100	0.3049	5.16e-03
205	0.3100	0.3052	4.83e-03
206	0.3100	0.3055	4.56e-03
207	0.3100	0.3079	2.13e-03
208	0.3100	0.3080	1.98e-03
209	0.3100	0.3082	1.82e-03
210	0.3100	0.3083	1.71e-03
211	0.3100	0.3080	1.97e-03
212	0.3133	0.3082	5.12e-03
213	0.3133	0.3086	4.73e-03
214	0.3133	0.3091	4.27e-03
215	0.3133	0.3114	1.94e-03
216	0.3133	0.3116	1.71e-03
217	0.3133	0.3113	2.07e-03
