Gen	MaxFit	AvgFit	Diversity
000	0.0410	0.0271	1.39e-02
001	0.0378	0.0271	1.07e-02
002	0.0372	0.0263	1.09e-02
003	0.0378	0.0286	9.17e-03
004	0.0391	0.0299	9.20e-03
005	0.0397	0.0309	8.82e-03
006	0.0378	0.0301	7.71e-03
007	0.0384	0.0307	7.74e-03
008	0.0391	0.0318	7.30e-03
009	0.0391	0.0323	6.82e-03
010	0.0416	0.0332	8.42e-03
011	0.0410	0.0337	7.23e-03
012	0.0429	0.0344	8.43e-03
013	0.0410	0.0351	5.87e-03
014	0.0422	0.0350	7.19e-03
015	0.0435	0.0357	7.80e-03
016	0.0435	0.0355	7.98e-03
017	0.0422	0.0363	5.95e-03
018	0.0441	0.0377	6.39e-03
019	0.0447	0.0388	5.94e-03
020	0.0454	0.0394	6.02e-03
021	0.0441	0.0392	4.89e-03
022	0.0447	0.0398	4.97e-03
023	0.0447	0.0397	5.03e-03
024	0.0454	0.0403	5.04e-03
025	0.0466	0.0409	5.76e-03
026	0.0466	0.0412	5.47e-03
027	0.0466	0.0415	5.13e-03
028	0.0479	0.0421	5.80e-03
029	0.0485	0.0424	6.15e-03
030	0.0498	0.0426	7.20e-03
031	0.0504	0.0433	7.15e-03
032	0.0510	0.0425	8.59e-03
033	0.0510	0.0426	8.49e-03
034	0.0498	0.0413	8.48e-03
035	0.0498	0.0419	7.92e-03
036	0.0479	0.0417	6.15e-03
037	0.0510	0.0422	8.85e-03
038	0.0510	0.0423	8.74e-03
039	0.0492	0.0424	6.78e-03
040	0.0498	0.0436	6.16e-03
041	0.0523	0.0448	7.53e-03
042	0.0529	0.0452	7.72e-03
043	0.0510	0.0453	5.79e-03
044	0.0523	0.0461	6.25e-03
045	0.0529	0.0456	7.33e-03
046	0.0529	0.0459	7.01e-03
047	0.0536	0.0462	7.41e-03
048	0.0542	0.0462	7.96e-03
049	0.0542	0.0465	7.73e-03
050	0.0542	0.0477	6.50e-03
051	0.0536	0.0477	5.85e-03
052	0.0536	0.0487	4.90e-03
053	0.0548	0.0499	4.90e-03
054	0.0542	0.0501	4.10e-03
055	0.0555	0.0502	5.22e-03
056	0.0548	0.0505	4.34e-03
057	0.0542	0.0501	4.12e-03
058	0.0555	0.0501	5.33e-03
059	0.0555	0.0499	5.59e-03
060	0.0542	0.0495	4.66e-03
061	0.0561	0.0501	5.97e-03
062	0.0555	0.0509	4.60e-03
063	0.0555	0.0508	4.69e-03
064	0.0561	0.0514	4.67e-03
065	0.0561	0.0518	4.30e-03
066	0.0561	0.0522	3.88e-03
