Gen	MaxFit	AvgFit	Diversity
000	0.0700	0.0400	3.00e-02
001	0.0700	0.0411	2.89e-02
002	0.0700	0.0356	3.44e-02
003	0.0667	0.0503	1.64e-02
004	0.0700	0.0527	1.73e-02
005	0.0733	0.0585	1.48e-02
006	0.0767	0.0621	1.46e-02
007	0.0767	0.0644	1.23e-02
008	0.0800	0.0692	1.08e-02
009	0.0800	0.0735	6.51e-03
010	0.0800	0.0750	5.00e-03
011	0.0833	0.0768	6.51e-03
012	0.0867	0.0778	8.90e-03
013	0.0867	0.0800	6.71e-03
014	0.0900	0.0831	6.91e-03
015	0.0900	0.0829	7.16e-03
016	0.0933	0.0853	8.04e-03
017	0.0933	0.0874	5.91e-03
018	0.0933	0.0866	6.74e-03
019	0.0933	0.0878	5.56e-03
020	0.0967	0.0891	7.59e-03
021	0.1000	0.0915	8.47e-03
022	0.1000	0.0939	6.12e-03
023	0.1033	0.0961	7.22e-03
024	0.1033	0.0979	5.48e-03
025	0.1067	0.1028	3.92e-03
026	0.1067	0.1027	3.96e-03
027	0.1067	0.1012	5.47e-03
028	0.1067	0.1010	5.72e-03
029	0.1100	0.1045	5.56e-03
030	0.1133	0.1067	6.60e-03
031	0.1100	0.1060	3.99e-03
032	0.1100	0.1046	5.37e-03
033	0.1133	0.1048	8.59e-03
034	0.1133	0.1081	5.27e-03
035	0.1167	0.1113	5.34e-03
036	0.1200	0.1133	6.73e-03
037	0.1233	0.1155	7.80e-03
038	0.1200	0.1157	4.27e-03
039	0.1233	0.1164	6.93e-03
040	0.1267	0.1188	7.92e-03
041	0.1300	0.1201	9.87e-03
042	0.1333	0.1219	1.15e-02
043	0.1367	0.1238	1.29e-02
044	0.1400	0.1272	1.29e-02
045	0.1433	0.1298	1.36e-02
046	0.1433	0.1336	9.77e-03
047	0.1433	0.1384	4.92e-03
048	0.1467	0.1410	5.68e-03
049	0.1467	0.1417	4.96e-03
050	0.1500	0.1431	6.90e-03
051	0.1467	0.1446	2.07e-03
052	0.1500	0.1458	4.20e-03
053	0.1500	0.1458	4.21e-03
054	0.1500	0.1455	4.48e-03
055	0.1533	0.1470	6.32e-03
056	0.1533	0.1478	5.50e-03
057	0.1567	0.1505	6.18e-03
058	0.1600	0.1524	7.62e-03
059	0.1600	0.1554	4.64e-03
060	0.1667	0.1591	7.62e-03
061	0.1667	0.1596	7.03e-03
062	0.1700	0.1609	9.14e-03
063	0.1700	0.1620	7.98e-03
064	0.1700	0.1611	8.91e-03
065	0.1700	0.1613	8.68e-03
066	0.1700	0.1631	6.89e-03
067	0.1700	0.1628	7.26e-03
068	0.1733	0.1649	8.44e-03
069	0.1733	0.1668	6.58e-03
070	0.1733	0.1698	3.51e-03
071	0.1767	0.1724	4.32e-03
072	0.1767	0.1735	3.20e-03
073	0.1800	0.1755	4.50e-03
074	0.1800	0.1763	3.73e-03
075	0.1833	0.1767	6.68e-03
076	0.1833	0.1779	5.43e-03
077	0.1833	0.1789	4.44e-03
078	0.1833	0.1789	4.48e-03
079	0.1867	0.1797	7.01e-03
080	0.1867	0.1822	4.50e-03
081	0.1867	0.1798	6.91e-03
082	0.1867	0.1813	5.39e-03
083	0.1900	0.1802	9.82e-03
084	0.1900	0.1835	6.51e-03
085	0.1933	0.1857	7.62e-03
086	0.1967	0.1889	7.76e-03
087	0.1967	0.1901	6.58e-03
088	0.2000	0.1898	1.02e-02
089	0.1967	0.1901	6.60e-03
090	0.1967	0.1928	3.86e-03
091	0.2000	0.1956	4.43e-03
092	0.2000	0.1956	4.37e-03
093	0.2000	0.1958	4.17e-03
094	0.2000	0.1969	3.12e-03
095	0.2033	0.1988	4.50e-03
096	0.2067	0.1996	7.08e-03
097	0.2067	0.2022	4.52e-03
098	0.2100	0.2054	4.64e-03
099	0.2133	0.2056	7.71e-03
100	0.2100	0.2061	3.94e-03
101	0.2133	0.2087	4.67e-03
102	0.2167	0.2099	6.77e-03
103	0.2167	0.2114	5.27e-03
104	0.2167	0.2111	5.58e-03
105	0.2200	0.2133	6.69e-03
