Gen	MaxFit	AvgFit	Diversity
000	0.0454	0.0312	1.42e-02
001	0.0460	0.0322	1.38e-02
002	0.0429	0.0323	1.06e-02
003	0.0447	0.0325	1.23e-02
004	0.0454	0.0322	1.31e-02
005	0.0466	0.0351	1.15e-02
006	0.0460	0.0348	1.12e-02
007	0.0479	0.0345	1.34e-02
008	0.0479	0.0357	1.22e-02
009	0.0479	0.0368	1.11e-02
010	0.0466	0.0364	1.02e-02
011	0.0479	0.0387	9.20e-03
012	0.0479	0.0396	8.29e-03
013	0.0504	0.0405	9.96e-03
014	0.0498	0.0408	8.99e-03
015	0.0510	0.0404	1.06e-02
016	0.0492	0.0407	8.50e-03
017	0.0492	0.0421	7.02e-03
018	0.0498	0.0439	5.86e-03
019	0.0498	0.0446	5.23e-03
020	0.0504	0.0447	5.75e-03
021	0.0498	0.0451	4.64e-03
022	0.0510	0.0462	4.83e-03
023	0.0517	0.0465	5.17e-03
024	0.0504	0.0464	3.99e-03
025	0.0523	0.0469	5.41e-03
026	0.0529	0.0475	5.40e-03
027	0.0529	0.0483	4.68e-03
028	0.0529	0.0481	4.89e-03
029	0.0536	0.0487	4.90e-03
030	0.0536	0.0486	5.01e-03
031	0.0555	0.0492	6.28e-03
032	0.0542	0.0489	5.27e-03
033	0.0548	0.0489	5.91e-03
034	0.0542	0.0487	5.49e-03
035	0.0567	0.0494	7.36e-03
036	0.0561	0.0496	6.49e-03
037	0.0567	0.0507	6.05e-03
038	0.0567	0.0509	5.83e-03
039	0.0567	0.0510	5.71e-03
040	0.0592	0.0512	8.08e-03
041	0.0580	0.0522	5.73e-03
042	0.0586	0.0524	6.24e-03
043	0.0605	0.0530	7.51e-03
044	0.0605	0.0536	6.91e-03
045	0.0592	0.0542	5.07e-03
046	0.0611	0.0545	6.62e-03
047	0.0599	0.0544	5.47e-03
048	0.0599	0.0550	4.86e-03
049	0.0611	0.0552	5.97e-03
050	0.0605	0.0557	4.78e-03
051	0.0624	0.0562	6.18e-03
052	0.0624	0.0569	5.45e-03
053	0.0630	0.0578	5.22e-03
054	0.0624	0.0579	4.54e-03
055	0.0637	0.0584	5.28e-03
056	0.0637	0.0590	4.68e-03
057	0.0630	0.0589	4.17e-03
058	0.0630	0.0588	4.24e-03
059	0.0637	0.0590	4.63e-03
060	0.0643	0.0597	4.61e-03
061	0.0630	0.0594	3.61e-03
062	0.0643	0.0594	4.93e-03
063	0.0643	0.0597	4.63e-03
064	0.0655	0.0603	5.26e-03
065	0.0655	0.0604	5.14e-03
066	0.0649	0.0603	4.62e-03
067	0.0649	0.0603	4.62e-03
068	0.0662	0.0602	5.92e-03
069	0.0662	0.0610	5.19e-03
070	0.0668	0.0624	4.41e-03
071	0.0668	0.0627	4.07e-03
072	0.0668	0.0631	3.71e-03
073	0.0674	0.0629	4.53e-03
074	0.0681	0.0633	4.79e-03
075	0.0674	0.0638	3.58e-03
076	0.0681	0.0640	4.04e-03
077	0.0681	0.0638	4.25e-03
078	0.0681	0.0639	4.19e-03
079	0.0693	0.0643	5.05e-03
080	0.0687	0.0646	4.11e-03
081	0.0693	0.0652	4.12e-03
082	0.0693	0.0660	3.34e-03
083	0.0706	0.0665	4.07e-03
084	0.0712	0.0666	4.58e-03
085	0.0706	0.0662	4.38e-03
086	0.0706	0.0671	3.51e-03
087	0.0712	0.0670	4.22e-03
088	0.0725	0.0668	5.63e-03
089	0.0706	0.0668	3.74e-03
090	0.0725	0.0672	5.31e-03
091	0.0718	0.0671	4.70e-03
092	0.0725	0.0667	5.76e-03
093	0.0718	0.0668	5.02e-03
094	0.0712	0.0672	4.01e-03
095	0.0731	0.0671	6.02e-03
096	0.0718	0.0675	4.35e-03
097	0.0737	0.0676	6.15e-03
098	0.0725	0.0671	5.40e-03
099	0.0731	0.0674	5.73e-03
100	0.0731	0.0676	5.55e-03
101	0.0725	0.0677	4.74e-03
102	0.0725	0.0677	4.73e-03
103	0.0725	0.0676	4.91e-03
104	0.0725	0.0672	5.30e-03
105	0.0731	0.0669	6.20e-03
106	0.0725	0.0670	5.43e-03
107	0.0737	0.0672	6.53e-03
108	0.0725	0.0673	5.16e-03
109	0.0744	0.0672	7.13e-03
110	0.0737	0.0677	6.03e-03
111	0.0731	0.0680	5.08e-03
112	0.0744	0.0677	6.67e-03
113	0.0737	0.0679	5.80e-03
114	0.0744	0.0688	5.53e-03
115	0.0744	0.0688	5.57e-03
116	0.0737	0.0686	5.09e-03
117	0.0737	0.0692	4.55e-03
118	0.0737	0.0703	3.46e-03
119	0.0750	0.0701	4.90e-03
120	0.0744	0.0706	3.74e-03
121	0.0750	0.0714	3.55e-03
122	0.0763	0.0721	4.17e-03
123	0.0763	0.0723	3.99e-03
124	0.0756	0.0726	2.99e-03
125	0.0769	0.0729	3.95e-03
126	0.0769	0.0728	4.08e-03
127	0.0781	0.0735	4.67e-03
128	0.0769	0.0727	4.21e-03
129	0.0788	0.0728	5.98e-03
130	0.0769	0.0728	4.12e-03
131	0.0775	0.0734	4.10e-03
132	0.0781	0.0740	4.14e-03
133	0.0781	0.0747	3.47e-03
134	0.0788	0.0745	4.32e-03
135	0.0788	0.0745	4.32e-03
136	0.0794	0.0747	4.71e-03
137	0.0794	0.0747	4.71e-03
138	0.0794	0.0751	4.26e-03
139	0.0794	0.0755	3.90e-03
140	0.0794	0.0761	3.31e-03
141	0.0800	0.0763	3.70e-03
142	0.0807	0.0765	4.18e-03
143	0.0807	0.0764	4.26e-03
144	0.0807	0.0763	4.40e-03
145	0.0807	0.0762	4.46e-03
