Gen	MaxFit	AvgFit	Diversity
000	0.0100	0.0015	8.56e-03
001	0.0100	0.0052	4.86e-03
002	0.0167	0.0081	8.54e-03
003	0.0133	0.0084	4.91e-03
004	0.0167	0.0092	7.43e-03
005	0.0167	0.0117	4.99e-03
006	0.0167	0.0154	1.26e-03
007	0.0200	0.0164	3.62e-03
008	0.0233	0.0179	5.44e-03
009	0.0233	0.0192	4.13e-03
010	0.0233	0.0199	3.43e-03
011	0.0267	0.0219	4.76e-03
012	0.0267	0.0224	4.30e-03
013	0.0267	0.0226	4.11e-03
014	0.0267	0.0240	2.64e-03
015	0.0300	0.0265	3.52e-03
016	0.0300	0.0269	3.12e-03
017	0.0300	0.0296	4.00e-04
018	0.0333	0.0297	3.68e-03
019	0.0333	0.0302	3.14e-03
020	0.0333	0.0328	5.00e-04
021	0.0333	0.0330	3.67e-04
022	0.0333	0.0328	5.22e-04
023	0.0367	0.0327	3.93e-03
024	0.0367	0.0330	3.71e-03
025	0.0400	0.0363	3.76e-03
026	0.0400	0.0361	3.88e-03
027	0.0400	0.0361	3.96e-03
028	0.0400	0.0357	4.29e-03
029	0.0400	0.0367	3.29e-03
030	0.0433	0.0394	3.92e-03
031	0.0433	0.0394	3.94e-03
032	0.0433	0.0400	3.31e-03
033	0.0467	0.0422	4.43e-03
034	0.0500	0.0437	6.27e-03
035	0.0500	0.0454	4.64e-03
036	0.0533	0.0458	7.50e-03
037	0.0500	0.0458	4.22e-03
038	0.0500	0.0472	2.86e-03
039	0.0533	0.0494	3.96e-03
040	0.0533	0.0498	3.57e-03
041	0.0533	0.0520	1.32e-03
042	0.0567	0.0525	4.16e-03
043	0.0567	0.0524	4.31e-03
044	0.0567	0.0558	8.89e-04
045	0.0600	0.0558	4.19e-03
046	0.0600	0.0565	3.48e-03
047	0.0633	0.0590	4.33e-03
048	0.0633	0.0597	3.68e-03
049	0.0633	0.0603	3.07e-03
050	0.0633	0.0623	1.00e-03
051	0.0667	0.0624	4.29e-03
052	0.0667	0.0628	3.87e-03
053	0.0667	0.0640	2.64e-03
054	0.0667	0.0656	1.06e-03
055	0.0700	0.0660	4.06e-03
056	0.0733	0.0663	7.03e-03
057	0.0700	0.0691	8.78e-04
058	0.0733	0.0690	4.36e-03
059	0.0733	0.0694	3.97e-03
060	0.0733	0.0702	3.14e-03
061	0.0733	0.0722	1.16e-03
062	0.0767	0.0724	4.30e-03
063	0.0767	0.0728	3.91e-03
064	0.0800	0.0731	6.96e-03
065	0.0767	0.0748	1.83e-03
066	0.0767	0.0756	1.04e-03
067	0.0800	0.0755	4.50e-03
068	0.0833	0.0764	6.99e-03
069	0.0833	0.0784	4.93e-03
070	0.0867	0.0820	4.69e-03
071	0.0900	0.0825	7.47e-03
072	0.0867	0.0831	3.57e-03
073	0.0900	0.0854	4.62e-03
074	0.0900	0.0858	4.21e-03
075	0.0900	0.0879	2.13e-03
076	0.0933	0.0887	4.69e-03
077	0.0900	0.0886	1.38e-03
078	0.0900	0.0887	1.30e-03
079	0.0900	0.0885	1.49e-03
080	0.0900	0.0887	1.33e-03
081	0.0900	0.0888	1.24e-03
082	0.0900	0.0884	1.57e-03
083	0.0900	0.0886	1.40e-03
084	0.0900	0.0888	1.23e-03
085	0.0933	0.0886	4.71e-03
086	0.0900	0.0888	1.18e-03
087	0.0900	0.0885	1.48e-03
088	0.0933	0.0886	4.78e-03
089	0.0900	0.0881	1.91e-03
090	0.0933	0.0887	4.64e-03
091	0.0933	0.0892	4.10e-03
092	0.0933	0.0893	4.02e-03
093	0.0933	0.0919	1.40e-03
094	0.0933	0.0918	1.52e-03
095	0.0967	0.0919	4.81e-03
096	0.0967	0.0919	4.77e-03
097	0.0933	0.0919	1.42e-03
098	0.0933	0.0920	1.34e-03
099	0.0967	0.0923	4.40e-03
100	0.0967	0.0917	4.93e-03
