Gen	MaxFit	AvgFit	Diversity
000	0.1400	0.0707	6.93e-02
001	0.0800	0.0468	3.32e-02
002	0.1000	0.0699	3.01e-02
003	0.1100	0.0793	3.07e-02
004	0.1100	0.0941	1.59e-02
005	0.1200	0.1040	1.60e-02
006	0.1200	0.1052	1.48e-02
007	0.1100	0.1092	8.00e-04
008	0.1200	0.1102	9.80e-03
009	0.1200	0.1092	1.08e-02
010	0.1300	0.1152	1.48e-02
011	0.1300	0.1134	1.66e-02
012	0.1300	0.1129	1.71e-02
013	0.1300	0.1206	9.40e-03
014	0.1400	0.1299	1.01e-02
015	0.1400	0.1288	1.12e-02
016	0.1500	0.1341	1.59e-02
017	0.1500	0.1399	1.01e-02
018	0.1500	0.1391	1.09e-02
019	0.1500	0.1399	1.01e-02
020	0.1600	0.1433	1.67e-02
021	0.1500	0.1432	6.80e-03
022	0.1600	0.1496	1.04e-02
023	0.1600	0.1494	1.06e-02
024	0.1600	0.1497	1.03e-02
025	0.1600	0.1496	1.04e-02
026	0.1600	0.1493	1.07e-02
027	0.1600	0.1497	1.03e-02
028	0.1700	0.1501	1.99e-02
029	0.1600	0.1491	1.09e-02
030	0.1600	0.1494	1.06e-02
031	0.1600	0.1556	4.40e-03
032	0.1700	0.1588	1.12e-02
033	0.1800	0.1633	1.67e-02
034	0.1900	0.1720	1.80e-02
035	0.1900	0.1792	1.08e-02
036	0.1900	0.1786	1.14e-02
037	0.1900	0.1794	1.06e-02
038	0.1900	0.1792	1.08e-02
039	0.2000	0.1850	1.50e-02
040	0.2000	0.1889	1.11e-02
041	0.2000	0.1887	1.13e-02
042	0.2000	0.1932	6.80e-03
043	0.2100	0.1991	1.09e-02
044	0.2100	0.2035	6.50e-03
045	0.2200	0.2093	1.07e-02
046	0.2300	0.2146	1.54e-02
047	0.2300	0.2184	1.16e-02
048	0.2300	0.2190	1.10e-02
049	0.2300	0.2182	1.18e-02
050	0.2300	0.2191	1.09e-02
051	0.2300	0.2185	1.15e-02
052	0.2300	0.2188	1.12e-02
053	0.2300	0.2184	1.16e-02
054	0.2300	0.2232	6.80e-03
055	0.2400	0.2291	1.09e-02
056	0.2500	0.2339	1.61e-02
057	0.2500	0.2389	1.11e-02
058	0.2500	0.2444	5.60e-03
059	0.2600	0.2489	1.11e-02
060	0.2700	0.2547	1.53e-02
061	0.2600	0.2586	1.40e-03
062	0.2700	0.2584	1.16e-02
063	0.2800	0.2639	1.61e-02
064	0.2800	0.2675	1.25e-02
065	0.2700	0.2678	2.20e-03
066	0.2700	0.2679	2.10e-03
067	0.2700	0.2672	2.80e-03
068	0.2800	0.2682	1.18e-02
069	0.2800	0.2679	1.21e-02
070	0.2900	0.2735	1.65e-02
071	0.2900	0.2732	1.68e-02
072	0.2900	0.2787	1.13e-02
073	0.2900	0.2873	2.70e-03
074	0.3000	0.2878	1.22e-02
075	0.3000	0.2928	7.20e-03
076	0.3100	0.2974	1.26e-02
077	0.3200	0.2970	2.30e-02
078	0.3200	0.3032	1.68e-02
079	0.3300	0.3015	2.85e-02
080	0.3200	0.3029	1.71e-02
081	0.3300	0.3184	1.16e-02
082	0.3200	0.3174	2.60e-03
083	0.3300	0.3180	1.20e-02
084	0.3200	0.3133	6.70e-03
085	0.3200	0.3184	1.60e-03
086	0.3300	0.3171	1.29e-02
087	0.3300	0.3186	1.14e-02
088	0.3400	0.3178	2.22e-02
089	0.3400	0.3213	1.87e-02
090	0.3500	0.3371	1.29e-02
091	0.3500	0.3377	1.23e-02
092	0.3600	0.3426	1.74e-02
093	0.3600	0.3445	1.55e-02
094	0.3600	0.3478	1.22e-02
095	0.3700	0.3580	1.20e-02
096	0.3600	0.3436	1.64e-02
097	0.3600	0.3487	1.13e-02
098	0.3600	0.3476	1.24e-02
099	0.3500	0.3471	2.90e-03
100	0.3600	0.3478	1.22e-02
101	0.3600	0.3477	1.23e-02
102	0.3600	0.3477	1.23e-02
103	0.3600	0.3427	1.73e-02
104	0.3600	0.3468	1.32e-02
105	0.3700	0.3583	1.17e-02
106	0.3800	0.3624	1.76e-02
107	0.3800	0.3716	8.40e-03
108	0.3800	0.3771	2.90e-03
109	0.3900	0.3774	1.26e-02
110	0.3900	0.3775	1.25e-02
111	0.4000	0.3864	1.36e-02
112	0.4100	0.3913	1.87e-02
113	0.4100	0.3985	1.15e-02
114	0.4200	0.4079	1.21e-02
115	0.4200	0.4115	8.50e-03
116	0.4200	0.4164	3.60e-03
117	0.4200	0.4171	2.90e-03
118	0.4200	0.4175	2.50e-03
119	0.4300	0.4172	1.28e-02
120	0.4400	0.4228	1.72e-02
121	0.4300	0.4282	1.80e-03
122	0.4400	0.4271	1.29e-02
123	0.4400	0.4303	9.70e-03
124	0.4400	0.4364	3.60e-03
125	0.4500	0.4377	1.23e-02
126	0.4600	0.4419	1.81e-02
127	0.4600	0.4517	8.30e-03
128	0.4700	0.4571	1.29e-02
129	0.4800	0.4621	1.79e-02
130	0.4700	0.4666	3.40e-03
131	0.4800	0.4670	1.30e-02
132	0.4800	0.4666	1.34e-02
133	0.4900	0.4772	1.28e-02
134	0.4900	0.4769	1.31e-02
135	0.4900	0.4808	9.20e-03
136	0.4900	0.4875	2.50e-03
137	0.4900	0.4861	3.90e-03
138	0.5000	0.4879	1.21e-02
139	0.5000	0.4867	1.33e-02
140	0.5200	0.4896	3.04e-02
141	0.5100	0.4919	1.81e-02
142	0.5200	0.4997	2.03e-02
143	0.5100	0.5055	4.50e-03
144	0.5200	0.5057	1.43e-02
145	0.5200	0.5074	1.26e-02
146	0.5200	0.5074	1.26e-02
147	0.5100	0.5015	8.50e-03
148	0.5100	0.5060	4.00e-03
149	0.5200	0.5076	1.24e-02
