Gen	MaxFit	AvgFit	Diversity
000	0.2812	0.2036	7.76e-02
001	0.2446	0.1645	8.01e-02
002	0.2206	0.1814	3.93e-02
003	0.2213	0.1875	3.37e-02
004	0.2213	0.2035	1.78e-02
005	0.2213	0.2037	1.75e-02
006	0.2290	0.2110	1.80e-02
007	0.2360	0.2117	2.42e-02
008	0.2437	0.2250	1.87e-02
009	0.2500	0.2311	1.89e-02
010	0.2430	0.2282	1.48e-02
011	0.2430	0.2273	1.57e-02
012	0.2430	0.2293	1.37e-02
013	0.2368	0.2259	1.09e-02
014	0.2430	0.2248	1.82e-02
015	0.2437	0.2279	1.58e-02
016	0.2430	0.2279	1.50e-02
017	0.2430	0.2290	1.39e-02
018	0.2430	0.2279	1.50e-02
019	0.2500	0.2320	1.79e-02
020	0.2437	0.2319	1.18e-02
021	0.2437	0.2317	1.21e-02
022	0.2516	0.2391	1.25e-02
023	0.2507	0.2357	1.50e-02
024	0.2640	0.2379	2.61e-02
025	0.2710	0.2465	2.45e-02
026	0.2780	0.2490	2.90e-02
027	0.2787	0.2517	2.70e-02
028	0.2640	0.2443	1.96e-02
029	0.2710	0.2462	2.48e-02
030	0.2780	0.2598	1.82e-02
031	0.2780	0.2556	2.24e-02
032	0.2710	0.2556	1.54e-02
033	0.2780	0.2550	2.30e-02
034	0.2710	0.2559	1.51e-02
035	0.2780	0.2620	1.60e-02
036	0.2864	0.2701	1.63e-02
037	0.2991	0.2728	2.63e-02
038	0.2920	0.2733	1.88e-02
039	0.2864	0.2663	2.01e-02
040	0.2927	0.2713	2.14e-02
041	0.3061	0.2839	2.22e-02
042	0.3061	0.2864	1.96e-02
043	0.3201	0.2798	4.03e-02
044	0.3061	0.2850	2.11e-02
045	0.2985	0.2792	1.93e-02
046	0.2985	0.2818	1.67e-02
047	0.2915	0.2745	1.70e-02
048	0.2844	0.2598	2.46e-02
049	0.2840	0.2500	3.39e-02
050	0.2915	0.2644	2.71e-02
051	0.2844	0.2691	1.54e-02
052	0.2844	0.2693	1.51e-02
053	0.2844	0.2723	1.22e-02
054	0.2915	0.2746	1.69e-02
055	0.2915	0.2689	2.26e-02
056	0.2985	0.2815	1.70e-02
057	0.2980	0.2761	2.20e-02
058	0.2985	0.2709	2.76e-02
059	0.2915	0.2697	2.18e-02
060	0.2991	0.2789	2.01e-02
061	0.2915	0.2712	2.03e-02
062	0.2915	0.2763	1.52e-02
063	0.2915	0.2755	1.60e-02
064	0.2910	0.2721	1.89e-02
065	0.2910	0.2738	1.72e-02
066	0.2910	0.2636	2.74e-02
067	0.2769	0.2614	1.55e-02
068	0.2699	0.2577	1.22e-02
069	0.2910	0.2671	2.39e-02
070	0.2699	0.2574	1.24e-02
071	0.2840	0.2646	1.94e-02
072	0.2915	0.2719	1.96e-02
073	0.2985	0.2766	2.19e-02
074	0.2910	0.2781	1.29e-02
075	0.2980	0.2817	1.63e-02
076	0.3051	0.2829	2.22e-02
077	0.3055	0.2866	1.90e-02
078	0.3051	0.2851	2.00e-02
079	0.3047	0.2831	2.16e-02
080	0.3121	0.2879	2.43e-02
081	0.3126	0.2893	2.32e-02
082	0.3333	0.2972	3.61e-02
083	0.3121	0.2919	2.03e-02
084	0.3121	0.2933	1.89e-02
085	0.3192	0.2970	2.22e-02
086	0.3055	0.2953	1.02e-02
087	0.3201	0.2930	2.71e-02
088	0.3121	0.2894	2.27e-02
089	0.2980	0.2823	1.57e-02
090	0.2985	0.2757	2.28e-02
091	0.3051	0.2792	2.59e-02
092	0.2980	0.2711	2.70e-02
093	0.2915	0.2645	2.70e-02
094	0.2920	0.2758	1.62e-02
095	0.3061	0.2762	2.98e-02
096	0.2844	0.2683	1.62e-02
097	0.2985	0.2761	2.24e-02
098	0.2920	0.2701	2.20e-02
099	0.2915	0.2724	1.90e-02
100	0.2915	0.2723	1.92e-02
101	0.2915	0.2751	1.64e-02
102	0.2991	0.2758	2.33e-02
103	0.2985	0.2795	1.91e-02
104	0.2910	0.2730	1.80e-02
105	0.2985	0.2769	2.16e-02
106	0.2920	0.2794	1.26e-02
107	0.2985	0.2825	1.60e-02
108	0.2985	0.2833	1.52e-02
109	0.2985	0.2837	1.48e-02
110	0.3051	0.2839	2.12e-02
111	0.3126	0.2831	2.95e-02
112	0.2915	0.2738	1.76e-02
113	0.2915	0.2759	1.56e-02
114	0.2920	0.2750	1.71e-02
115	0.2985	0.2745	2.40e-02
116	0.2915	0.2736	1.79e-02
117	0.2915	0.2721	1.94e-02
118	0.2985	0.2781	2.05e-02
119	0.2985	0.2822	1.63e-02
120	0.3051	0.2824	2.27e-02
121	0.3055	0.2816	2.39e-02
122	0.3055	0.2790	2.66e-02
123	0.2991	0.2759	2.31e-02
124	0.3055	0.2760	2.96e-02
125	0.3055	0.2893	1.63e-02
126	0.3126	0.2908	2.17e-02
127	0.3196	0.2958	2.39e-02
128	0.3061	0.2903	1.58e-02
129	0.3196	0.2886	3.10e-02
130	0.3055	0.2892	1.64e-02
131	0.3061	0.2895	1.66e-02
132	0.3196	0.2898	2.98e-02
133	0.3126	0.2893	2.33e-02
134	0.3126	0.2898	2.27e-02
135	0.2991	0.2824	1.67e-02
136	0.3067	0.2831	2.36e-02
137	0.2985	0.2749	2.36e-02
138	0.3055	0.2730	3.25e-02
139	0.2915	0.2707	2.08e-02
140	0.2997	0.2749	2.48e-02
141	0.2991	0.2736	2.54e-02
142	0.2769	0.2519	2.50e-02
143	0.2710	0.2552	1.58e-02
144	0.2920	0.2622	2.98e-02
145	0.2920	0.2676	2.44e-02
146	0.2920	0.2773	1.47e-02
147	0.2920	0.2765	1.56e-02
148	0.2920	0.2761	1.60e-02
149	0.2920	0.2730	1.90e-02
150	0.2850	0.2717	1.33e-02
151	0.2920	0.2706	2.15e-02
