Gen	FittestString____	MaxFit	AvgFit	Diversity
000	ThXbwTxuJCE EjCPrA	0.1111	0.0183	9.28e-02
001	naOSttKx niqX mrmG	0.1111	0.0178	9.33e-02
002	huRrX pCznoCIslZDq	0.1667	0.0189	1.48e-01
003	TuiqVfOCPCbe ABwVZ	0.1111	0.0189	9.22e-02
004	TujoVIOCtBcd dBNxt	0.1111	0.0206	9.06e-02
005	AkUoVRfzXnlt lvJDS	0.1667	0.0233	1.43e-01
006	hMboEVobznhg AMceh	0.1667	0.0167	1.50e-01
007	huNoN oVUPheWDcgjn	0.1111	0.0161	9.50e-02
008	HVCqGEhZInAtOvMyNZ	0.1111	0.0183	9.28e-02
009	OuNpI CCXldtWDcyNt	0.1111	0.0211	9.00e-02
010	KVqqPRBFAndtGsMyYJ	0.1111	0.0175	9.36e-02
011	TRCqVSjbUtwtMDlymn	0.1111	0.0167	9.44e-02
012	TRjqRfjbPCYtM lymn	0.1111	0.0250	8.61e-02
013	EYHoR dFynmN sTNNq	0.1667	0.0258	1.41e-01
014	TVHYV jCyCptMvDNNn	0.1667	0.0258	1.41e-01
015	KuJYEIhFUnYh vTbYq	0.1111	0.0217	8.94e-02
016	KuzYRSfCAnYtNsmhNJ	0.1111	0.0278	8.33e-02
017	KVCqG hFPnpUOAThYq	0.1111	0.0356	7.56e-02
018	KVCKRRdVAnYt UTwNq	0.1667	0.0311	1.36e-01
019	ERJqR hbynmtGUTbYn	0.1667	0.0342	1.32e-01
020	KYzqt jbAnYt ePbYn	0.2222	0.0356	1.87e-01
021	KYzqt jbPnmt eTbNn	0.2222	0.0447	1.77e-01
022	OYzqtsdbAnmt sMuYq	0.1667	0.0519	1.15e-01
023	KRzqt hZAnYt ePuNn	0.2222	0.0550	1.67e-01
024	KfJqV jbAnmt DTbNq	0.2222	0.0572	1.65e-01
025	TVHqNfjCynmtOeMbYq	0.1667	0.0544	1.12e-01
026	KYHYz dVAnmtOsmbYq	0.1667	0.0503	1.16e-01
027	TVHqK dbPRmtOeMuYn	0.1667	0.0486	1.18e-01
028	ORJYR jCynmh eTNYn	0.1667	0.0450	1.22e-01
029	ORjqV pCynmtOdTyYq	0.1667	0.0469	1.20e-01
030	ORHqVRjFynmt vMbYq	0.1667	0.0389	1.28e-01
031	KRjqNRjCynmt sMAYs	0.1667	0.0406	1.26e-01
032	KRHZNRjCynmt sTANs	0.1667	0.0411	1.26e-01
033	KRCqR dVynYtODPuNn	0.1667	0.0475	1.19e-01
034	KRzqE jCynmtOecbYs	0.1667	0.0472	1.19e-01
035	OVJqVRdCynmt sMuNq	0.1667	0.0489	1.18e-01
036	EuzqV jCynmtGsmAYq	0.1667	0.0392	1.27e-01
037	TRUqtSjbynYtOsDbNq	0.1667	0.0367	1.30e-01
038	KRCqR jCynmtOvDuYN	0.1667	0.0417	1.25e-01
039	ORjYR jFynmtOvMAYq	0.1667	0.0369	1.30e-01
040	TRjqR jFynmUOsMbYq	0.1667	0.0347	1.32e-01
041	OVUYR jVynmtOdMAYq	0.1667	0.0347	1.32e-01
042	TRzqRRjCynmtGdcAYq	0.1667	0.0353	1.31e-01
043	TRzqRRjbynmtGdcAYq	0.1667	0.0386	1.28e-01
044	TfzYRRjVynmtOsPAYq	0.1667	0.0417	1.25e-01
045	TVJYN jFyCmtOUPAYs	0.1667	0.0411	1.26e-01
046	TRUYN dVyCmtOUPAYq	0.1667	0.0372	1.29e-01
047	ERzqNfjCynmtOvPANq	0.1111	0.0361	7.50e-02
048	EVzqRSjbynptGscAYq	0.1111	0.0333	7.78e-02
049	KVzYVfjCynmtGscyNq	0.1111	0.0297	8.14e-02
050	KfzqVRjbynYtGUcAYq	0.1111	0.0281	8.31e-02
051	EVzqVfjCynmtGdcyNq	0.1111	0.0325	7.86e-02
052	ORHqESjbynYtOvMbNq	0.1111	0.0375	7.36e-02
053	OfzqESjbAnYtGsPuNq	0.1111	0.0394	7.17e-02
054	EVHqERjbynYtOsMAYs	0.1111	0.0397	7.14e-02
055	ORHqRSjVynmtGscyYs	0.1111	0.0419	6.92e-02
056	ORzqEfjbynYtGdcuNq	0.1111	0.0378	7.33e-02
057	ORzYVRjVynYtOscAYq	0.1111	0.0431	6.81e-02
058	OfzqifjCynYtGsPAYq	0.1111	0.0386	7.25e-02
059	ERJYifjVynYtOsDAYq	0.1111	0.0494	6.17e-02
060	EfHqRRjVynYtGdMAYq	0.1111	0.0531	5.81e-02
061	OfzqifpVynYtGdPANq	0.1111	0.0517	5.94e-02
062	ERHqifjCynYtGsDANq	0.1111	0.0497	6.14e-02
063	ORHYNfjVynmtGsPANq	0.1111	0.0478	6.33e-02
064	OVHqifjCynYtOsPANq	0.1111	0.0489	6.22e-02
065	EfJqVSjVynmtGsMyYq	0.1111	0.0436	6.75e-02
066	EVHYiSjbynmtOsTANq	0.1111	0.0442	6.69e-02
067	EfHqEfjCynmtOsPbNq	0.1111	0.0428	6.83e-02
068	ERHoifjbynmtGeDyNq	0.1111	0.0425	6.86e-02
069	ERHqifdCynmtGsMAYq	0.1111	0.0414	6.97e-02
070	EVHYESjCynmtOsMbNq	0.1111	0.0378	7.33e-02
071	ERJoifjbynmtGsTAYq	0.1111	0.0369	7.42e-02
072	EfHYifjVynmtOsTANq	0.1111	0.0439	6.72e-02
073	OVHqESjCynYtOscANq	0.1111	0.0461	6.50e-02
074	EVHqRSjCynmtGsMbNq	0.1111	0.0444	6.67e-02
075	ERJoifjCynmtOeMANq	0.1111	0.0394	7.17e-02
076	ERHqifjVynmtGdTyNs	0.1111	0.0403	7.08e-02
077	ERJqifjCynYtGdTyNq	0.1111	0.0397	7.14e-02
078	ORJqiSjVynYtGdTyNs	0.1111	0.0369	7.42e-02
079	ERJqVfjVynmtGvTANq	0.1111	0.0306	8.06e-02
080	ERHYVfjbynmtGvPANq	0.1111	0.0300	8.11e-02
081	ORHoVSjVynmtGvcyNk	0.1111	0.0294	8.17e-02
082	ORHoVSjCynmtOeTbNk	0.1111	0.0264	8.47e-02
083	ERHYVfjCynmtGeMANq	0.1111	0.0300	8.11e-02
084	ERHYifjCynmtOvMyNq	0.1111	0.0356	7.56e-02
